id,id,dist,x0,y0,z0,absmag,mag,vx,vy,vz,spect,sy_pnum
1195,74,41.9987,34.084,0.132,24.539,6.814,9.93,1.4512573239999998e-06,3.23180697884e-05,-9.19E-06,K,0
1202,75,488.8944,311.325,1.213,-376.952,-1.026,7.42,-1.16E-05,6.80772546542e-05,2.58252262818e-05,K,0
1212,0,459.3834,274.77,1.081,368.148,0.899,9.21,1.8283798258e-06,-9.86E-06,-3.49E-05,A,0
1218,0,477.0818,470.09,1.869,81.357,1.052,9.445,-7.06E-06,4.7252734067e-05,4.90565856e-05,K,0
1221,76,779.5725,655.088,2.609,422.594,-0.429,9.03,-2.00E-05,-9.59E-06,-4.92E-05,M,0
1223,0,144.1996,138.335,0.551,40.703,3.8,9.595,1.93681532022e-05,7.795909061599999e-06,1.53587993416e-05,F,0
1229,0,388.2287,339.082,1.359,189.058,1.068,9.013,-2.79E-06,-5.07E-05,-2.78E-05,K,0
1232,0,105.2783,87.77,0.352,58.136,4.118,9.23,-2.41E-05,-2.47E-05,7.300233144599999e-06,F,0
1237,0,435.3621,407.99,1.642,-151.926,1.705,9.899,2.39682301144e-05,-1.68E-05,-3.13E-05,A,0
1238,77,232.8451,201.518,0.811,-116.648,1.575,8.41,2.3117915964e-06,2.12231053452e-05,1.7026723251999998e-06,A,0
1244,78,501.1743,476.997,1.934,153.772,-0.44,8.06,-6.75E-06,-5.05E-06,1.2560529938e-05,K,0
1245,0,934.0643,591.578,2.401,722.846,-0.341,9.511,-8.33E-06,1.5006205132599998e-05,6.7687868006e-06,B,0
1259,79,259.9326,212.095,0.873,150.266,1.616,8.69,2.77762475716e-05,1.52238937312e-05,-6.56E-07,F,0
1265,0,288.4582,232.395,0.962,170.88,2.406,9.706,-5.80E-06,-1.29E-05,-3.23E-06,A,0
1283,0,225.4628,82.787,0.346,209.713,1.222,7.987,7.533251926199999e-06,6.6952019222e-06,1.0650389136199998e-05,A,0
1284,0,347.5462,121.574,0.509,325.588,1.161,8.866,6.7892270446e-06,-6.99E-06,-3.53E-05,K,0
1294,0,109.3127,6.345,0.027,109.128,4.422,9.615,-4.95E-05,9.077512360399998e-06,-6.53E-05,G,0
1302,80,71.1048,69.596,0.295,-14.569,4.141,8.4,-1.77E-05,0.000143997,-2.57E-05,G,0
1306,0,113.576,104.757,0.445,43.878,3.351,8.627,4.541822216799999e-06,-2.30E-05,-4.83E-05,F,0
1308,81,45.0262,44.859,0.191,-3.871,5.303,8.57,-2.91E-06,-4.08E-05,-3.77E-05,G,0
1317,0,2631.7923,1232.236,5.29,2325.488,-2.262,9.839,1.2391897924999998e-05,-3.07E-05,-6.50E-06,B,0
1321,0,164.3637,32.561,0.14,-161.106,3.902,9.981,-3.84E-05,4.6787718516e-06,-1.91E-05,G,0
1329,0,154.2975,141.56,0.612,-61.385,3.764,9.706,8.2670566858e-06,4.936216724779999e-05,-7.08E-05,G,0
1334,82,1075.6663,1056.122,4.572,-204.067,-0.658,9.5,-0.000147694,-2.95E-05,-0.0003173,G,0
1335,83,955.2026,587.017,2.542,753.536,-1.05,8.85,8.965091018399999e-06,-1.78E-05,9.7663485832e-06,M,0
1361,84,52.8383,46.702,0.206,24.713,5.995,9.61,3.566822578e-07,5.73747428958e-05,-1.15E-06,K,0
1405,0,173.8836,160.322,0.725,-67.32,2.443,8.644,7.572088389799999e-06,6.702151605159999e-05,-7.55E-05,G,0
1413,86,315.4055,109.922,0.5,295.631,0.556,8.05,-4.44E-06,1.7380339473199998e-05,-2.50E-06,B,0
1418,87,203.4987,202.442,0.924,-20.688,1.257,7.8,3.684353981e-06,-7.52E-06,-1.09E-05,F,0
1421,0,256.5042,245.52,1.126,-74.249,2.699,9.744,-3.76E-06,2.7706750742e-05,5.1979540492e-06,F,0
1431,0,425.7628,210.364,0.971,370.162,1.411,9.557,1.6532069347199997e-05,2.18281365676e-05,-2.02E-05,G,0
1447,0,33.3402,30.588,0.143,-13.263,6.888,9.503,-3.55E-06,1.0859901637199998e-05,-2.81E-05,K,0
