pl_name,hip_name,sy_pnum
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 463 b,HIP 60398,1
GJ 463 b,HIP 60398,1
GJ 463 b,HIP 60398,1
GJ 480 b,HIP 61706,1
GJ 486 b,HIP 62452,1
GJ 486 b,HIP 62452,1
GJ 504 b,HIP 64792,1
GJ 514 b,HIP 65859,1
GJ 536 b,HIP 68469,1
GJ 536 b,HIP 68469,1
GJ 581 b,HIP 74995,3
GJ 581 b,HIP 74995,3
GJ 581 b,HIP 74995,3
GJ 581 b,HIP 74995,3
GJ 581 b,HIP 74995,3
GJ 581 b,HIP 74995,3
GJ 581 c,HIP 74995,3
GJ 581 c,HIP 74995,3
GJ 581 c,HIP 74995,3
GJ 581 c,HIP 74995,3
GJ 581 c,HIP 74995,3
GJ 581 e,HIP 74995,3
GJ 581 e,HIP 74995,3
GJ 581 e,HIP 74995,3
GJ 581 e,HIP 74995,3
GJ 625 b,HIP 80459,1
GJ 649 b,HIP 83043,1
GJ 649 b,HIP 83043,1
GJ 649 b,HIP 83043,1
GJ 667 C b,,5
GJ 667 C b,,5
GJ 667 C b,,5
GJ 667 C b,,5
GJ 667 C b,,5
GJ 667 C c,,5
GJ 667 C c,,5
GJ 667 C c,,5
GJ 667 C c,,5
GJ 667 C e,,5
GJ 667 C f,,5
GJ 667 C g,,5
GJ 674 b,HIP 85523,1
GJ 676 A b,HIP 85647,4
GJ 676 A b,HIP 85647,4
GJ 676 A b,HIP 85647,4
GJ 676 A b,HIP 85647,4
GJ 676 A b,HIP 85647,4
GJ 676 A c,HIP 85647,4
GJ 676 A c,HIP 85647,4
GJ 676 A d,HIP 85647,4
GJ 676 A d,HIP 85647,4
GJ 676 A d,HIP 85647,4
GJ 676 A e,HIP 85647,4
GJ 676 A e,HIP 85647,4
GJ 676 A e,HIP 85647,4
GJ 680 b,HIP 86057,1
GJ 682 b,HIP 86214,2
GJ 682 c,HIP 86214,2
GJ 685 b,HIP 86087,1
GJ 687 b,HIP 86162,2
GJ 687 b,HIP 86162,2
GJ 687 b,HIP 86162,2
GJ 687 b,HIP 86162,2
GJ 687 c,HIP 86162,2
GJ 720 A b,HIP 91128,1
GJ 724 b,HIP 91608,1
